State|City|Zip|StreetNumber|StreetName|Pdir|Ssfx
PA|Aston|,19014||cozerville||rd
PA|Malvern|,19355||culpepper||court
PA|Chesterbrook|,19087||curtis||court
PA|Berwyn|,19312||Daylesford||blvd
PA|rosemont,lower merion|||derring||,ln
PA|Athens|,18810||Desmond||St
PA|,Charlestown|||Devault||,ln
PA|Malvern|19355||Devon||Rd
PA|Aston|,19014||Drayton||Rd
PA|Fort Washington|,19034||Dreshertown||Rd
PA|West Chester|,19380||Durant||Court
PA|Lavelle,Ashland|||Dutch||Rd
PA|Chesterbrook|||Eagle Ridge||rd, dr
PA|Newtown Square|,19073||Eagle View,Eagleview||dr
PA|Media,Upper Providence Township|||Ebie||Cir
PA|Roslyn,Abington|,19001||Edge Hill||Rd
PA|Chester Springs,Upper Uwchlan|19425||Elmhurst||Dr
PA|Chesterbrook|||espirit||ln,terrace
PA|Lavelle,Butler|||Fairgrounds||rd
PA|Radnor,Wayne|||Fairhill||Cir
PA|St Davids,Radnor|,19087||Fairview||rd,dr
PA|Exton|,19341||Firethorn,Firethorne||,cir
PA|Wyndmoor|19038||Firethorn,Firethorne||,ln
PA|Sharon|,16146||Fisher,Fisher Hill||hl,st
PA|Chesterbrook|,19087||flintlock||ln
PA|Reading|||flying hills village center,village center||,dr
PA|Reading|||flying hills village ceneter,village center||,dr
PA|Reading|||flying hills corp ctr,village center||,dr
PA|Reading|||flying hills vlg,village center||,dr
